Id,Label
1,102.2
2,102.2
3,103.4
4,102.4
5,104.2
6,106.1
7,106.0
8,107.7
9,108.2
10,113.4
11,130.0
12,138.5
13,135.1
14,128.6
15,130.1
16,156.5
17,217.9
18,159.3
19,202.9
20,202.0
21,196.7
22,188.6
23,185.1
24,184.5
25,184.3
26,177.3
27,161.6
28,169.4
29,160.1
30,141.7
31,134.8
32,136.8
33,131.0
34,110.1
35,99.9
36,97.2
37,83.4
38,71.0
39,60.0
40,59.6
41,59.2
42,56.9
43,68.0
44,63.9
45,66.8
46,63.9
47,61.6
48,63.0
49,56.6
50,55.7
51,54.9
52,54.6
53,54.2
54,52.8
55,52.8
56,52.1
57,52.9
58,54.9
59,55.0
60,54.6
61,54.0
62,54.7
63,53.5
64,54.1
65,53.7
66,53.7
67,53.7
68,55.0
69,53.9
70,54.1
71,54.9
72,54.6
73,54.3
74,54.2
75,54.6
76,53.8
77,53.9
78,53.7
79,53.6
80,57.4
81,53.9
82,53.9
83,58.2
84,52.3
85,51.8
86,52.2
87,52.6
88,57.3
89,77.3
90,113.0
91,137.4
92,144.6
93,146.7
94,146.4
95,151.7
96,181.4
97,173.1
98,173.2
99,171.0
100,155.5
101,159.4
102,154.6
103,151.6
104,149.2
105,154.0
106,141.5
107,136.6
108,145.6
109,147.0
110,142.9
111,142.8
112,145.9
113,141.9
114,141.5
115,145.4
116,145.2
117,153.6
118,146.3
119,146.5
120,136.9
121,147.8
122,129.3
123,127.7
124,132.8
125,129.0
126,125.6
127,128.6
128,140.5
129,126.8
130,127.2
131,125.4
132,126.9
133,127.0
134,128.2
135,126.8
136,126.4
137,124.6
138,127.8
139,127.9
140,129.6
141,142.9
142,141.1
143,140.6
144,141.6
145,155.6
146,135.3
147,130.9
148,126.5
149,238.1
150,277.5
151,247.5
152,276.8
153,153.1
154,152.3
155,167.6
156,355.5
157,397.6
158,392.1
159,359.8
160,351.1
161,368.9
162,368.8
163,329.2
164,277.3
165,165.1
166,187.3
167,180.2
168,182.5
169,164.0
170,172.2
171,143.4
172,142.0
173,125.6
174,127.5
175,120.7
176,123.2
177,124.2
178,127.6
179,91.4
180,82.7
181,87.2
182,70.6
183,68.7
184,64.2
185,60.4
186,61.4
187,61.4
188,60.5
189,59.5
190,57.7
191,56.6
192,55.8
193,82.8
194,82.3
195,90.3
196,50.7
197,91.1
198,50.2
199,93.3
200,50.9
201,93.0
202,50.6
203,50.7
204,51.2
205,94.4
206,94.3
207,93.7
208,93.7
209,50.6
210,80.0
211,50.4
212,73.3
213,73.0
214,75.4
215,76.3
216,76.3
217,76.3
218,79.8
219,77.8
220,78.1
221,78.3
222,79.3
223,51.8
224,51.5
225,52.0
226,70.8
227,53.4
228,71.2
229,78.7
230,77.3
231,71.0
232,56.6
233,63.4
234,62.3
235,66.7
236,92.8
237,122.7
238,102.0
239,125.5
240,188.2
241,202.0
242,225.6
243,224.1
244,245.8
245,204.0
246,198.2
247,198.1
248,185.9
249,184.9
250,189.2
251,186.5
252,119.5
253,144.8
254,131.9
255,128.2
256,118.1
257,118.9
258,156.3
259,125.0
260,175.1
261,196.4
262,234.2
263,224.7
264,224.7
265,224.4
266,231.9
267,242.7
268,253.0
269,238.3
270,170.8
271,135.8
272,137.3
273,141.5
274,153.4
275,142.9
276,148.7
277,159.8
278,153.2
279,162.8
280,147.0
281,142.8
282,141.9
283,146.4
284,146.2
285,145.1
286,137.5
287,139.9
288,139.4
289,140.5
290,152.9
291,151.6
292,149.8
293,153.5
294,166.3
295,175.5
296,195.9
297,186.3
298,200.7
299,200.3
300,187.4
301,188.7
302,184.3
303,176.6
304,195.8
305,181.7
306,180.3
307,224.7
308,220.4
309,124.1
310,116.4
311,114.5
312,110.6
313,110.7
314,112.9
315,110.8
316,105.7
317,104.2
318,96.3
319,87.0
320,91.4
321,82.3
322,85.9
323,81.9
324,75.6
325,72.1
326,63.2
327,59.7
328,59.5
329,59.2
330,59.9
331,59.6
332,84.7
333,56.1
334,63.9
335,63.7
336,63.4
337,50.3
338,51.2
339,50.0
340,50.2
341,51.0
342,50.8
343,50.7
344,50.7
345,49.6
346,49.9
347,50.0
348,49.7
349,48.4
350,48.9
351,51.0
352,50.8
353,48.8
354,49.0
355,59.0
356,58.5
357,58.4
358,59.4
359,59.0
360,57.9
361,57.2
362,57.4
363,58.2
364,59.5
365,58.6
366,59.5
367,57.7
368,56.6
369,56.5
370,57.7
371,55.8
372,56.1
373,58.3
374,58.0
375,57.5
376,61.1
377,69.8
378,67.0
379,72.5
380,100.8
381,137.4
382,136.3
383,138.7
384,169.9
385,199.2
386,227.7
387,242.1
388,247.4
389,229.8
390,236.7
391,217.2
392,209.4
393,170.4
394,176.3
395,191.2
396,213.4
397,188.5
398,194.2
399,189.4
400,192.7
401,201.4
402,206.8
403,218.2
404,217.9
405,208.9
406,204.8
407,206.7
408,188.9
409,190.5
