Id,Label
1,10507.0
2,10507.0
3,10507.0
4,5037.0
5,10507.0
6,10507.0
7,10507.0
8,5037.0
9,10507.0
10,10507.0
11,10507.0
12,5114.0
13,10507.0
14,5636.0
15,7953.0
16,5037.0
17,3389.0
18,10507.0
19,1959.0
20,10507.0
21,5114.0
22,1959.0
23,10507.0
24,8854.0
25,10507.0
26,10507.0
27,5114.0
28,5226.0
29,8147.0
30,10507.0
31,5636.0
32,10507.0
33,5636.0
34,10507.0
35,1613.0
36,10507.0
37,5226.0
38,5636.0
39,10507.0
40,1959.0
41,10507.0
42,10507.0
43,1613.0
44,5037.0
45,5114.0
46,10507.0
47,5226.0
48,10507.0
49,10507.0
50,10507.0
51,2651.0
52,1959.0
53,10507.0
54,10507.0
55,10507.0
56,5114.0
57,10507.0
58,10507.0
59,5037.0
60,1613.0
61,10507.0
62,5636.0
63,5636.0
64,10507.0
65,10507.0
66,10507.0
67,1959.0
68,10507.0
69,10507.0
70,10507.0
71,10507.0
72,10507.0
73,10507.0
74,10507.0
75,10507.0
76,10507.0
77,10507.0
78,10507.0
79,5636.0
80,10507.0
81,10507.0
82,5226.0
83,10507.0
84,10507.0
85,10507.0
86,10507.0
87,10507.0
88,10507.0
89,10507.0
90,3562.0
91,5636.0
92,10507.0
93,1613.0
94,10507.0
95,10507.0
96,10507.0
97,1613.0
98,10507.0
99,5226.0
100,5037.0
101,10507.0
102,10507.0
103,5037.0
104,10507.0
105,10507.0
106,10507.0
107,10507.0
108,10507.0
109,10507.0
110,10507.0
111,10507.0
112,10507.0
113,5636.0
114,5636.0
115,3389.0
116,5636.0
117,1959.0
118,10507.0
119,10507.0
120,5636.0
121,10507.0
122,1613.0
123,10507.0
124,10507.0
125,10507.0
126,1959.0
127,8147.0
128,10507.0
129,5037.0
130,10507.0
131,10507.0
132,10507.0
133,5037.0
134,10507.0
135,8854.0
136,10507.0
137,3389.0
138,10507.0
139,10507.0
140,5114.0
141,10507.0
142,5226.0
143,10507.0
144,10507.0
145,5226.0
146,5636.0
147,5636.0
148,1959.0
149,10507.0
150,1959.0
151,1959.0
152,10507.0
153,5226.0
154,10507.0
155,1959.0
156,10507.0
157,10507.0
158,5226.0
159,10507.0
160,5037.0
161,8147.0
162,1959.0
163,5636.0
164,5037.0
165,5226.0
166,5037.0
167,10507.0
168,10507.0
169,5037.0
170,10507.0
171,3389.0
172,10507.0
173,10507.0
174,10507.0
175,1959.0
176,10507.0
177,5037.0
178,10507.0
179,5636.0
180,5037.0
181,10507.0
182,10507.0
183,10507.0
184,10507.0
185,10507.0
186,7953.0
187,10507.0
188,5226.0
189,10507.0
190,10507.0
191,10507.0
192,1959.0
193,10507.0
194,5636.0
195,5114.0
196,5226.0
197,10507.0
198,10507.0
199,10507.0
200,10507.0
201,10507.0
202,2651.0
203,5226.0
204,10507.0
205,5037.0
206,5636.0
207,5226.0
208,10507.0
209,5037.0
210,10507.0
211,10507.0
212,10507.0
213,5636.0
214,5636.0
215,5636.0
216,10507.0
217,10507.0
218,5636.0
219,10507.0
